"","spp","Predicted","SE","lower","upper","island"
"1","apop",0.999950650469192,0.00201636693724461,3.35606881177277e-31,1,"Rota"
"2","apop",0.999950650469192,0.00201636693724461,3.35606881177277e-31,1,"Saipan"
"3","apop",0.999950650469192,0.00201636693724461,3.35606881177277e-31,1,"Tinian"
"4","clma",0.999986654793543,0.00032391835837993,1.63608409191689e-16,1,"Saipan"
"5","dima",0.999702689155979,0.00836761417261473,3.65627871280434e-21,1,"Rota"
"6","gaga",0.0310716942490811,0.0220511418985697,0.00757380175991173,0.118749128028308,"Rota"
"7","gaga",0.0310716942490811,0.0220511418985697,0.00757380175991173,0.118749128028308,"Saipan"
"8","gaga",0.0310716942490811,0.0220511418985697,0.00757380175991173,0.118749128028308,"Tinian"
"9","gaxa",0.111813349992127,0.0537565205144785,0.0417556601054193,0.266699286088295,"Rota"
"10","gaxa",0.111813349992127,0.0537565205144785,0.0417556601054193,0.266699286088295,"Saipan"
"11","gaxa",0.111813349992127,0.0537565205144785,0.0417556601054193,0.266699286088295,"Tinian"
"12","mota",0.999985954260313,0.000414699973924144,5.25291577793089e-21,1,"Tinian"
"13","myru",0.98755541151069,0.296215412660553,2.41728675194515e-19,1,"Rota"
"14","myru",0.98755541151069,0.296215412660553,2.41728675194515e-19,1,"Saipan"
"15","myru",0.98755541151069,0.296215412660553,2.41728675194515e-19,1,"Tinian"
"16","ptro",0.997965351514406,0.0327540264090028,9.11884416938499e-12,1,"Rota"
"17","ptro",0.997965351514406,0.0327540264090028,9.11884416938499e-12,1,"Saipan"
"18","ptro",0.997965351514406,0.0327540264090028,9.11884416938499e-12,1,"Tinian"
"19","rhru",0.999743917282132,0.00148345875547471,0.0436463499640877,0.999999997005582,"Rota"
"20","rhru",0.999743917282132,0.00148345875547471,0.0436463499640877,0.999999997005582,"Saipan"
"21","rhru",0.999743917282132,0.00148345875547471,0.0436463499640877,0.999999997005582,"Tinian"
"22","stbi",0.051275151117756,0.0293599210825071,0.0162891366961455,0.149950219452091,"Rota"
"23","stbi",0.051275151117756,0.0293599210825071,0.0162891366961455,0.149950219452091,"Saipan"
"24","stbi",0.051275151117756,0.0293599210825071,0.0162891366961455,0.149950219452091,"Tinian"
"25","toch",0.99874828811887,0.0351189552201263,9.77417771410171e-22,1,"Rota"
"26","toch",0.99874828811887,0.0351189552201263,9.77417771410171e-22,1,"Saipan"
"27","toch",0.99874828811887,0.0351189552201263,9.77417771410171e-22,1,"Tinian"
"28","zoco",0.999891131834876,0.000538299490924884,0.361964373558624,0.999999993274613,"Saipan"
"29","zoco",0.999891131834876,0.000538299490924884,0.361964373558624,0.999999993274613,"Tinian"
